;Region/Country/Area;Tourist/visitor arrivals and tourism expenditure;Year;Series;Tourism arrivals series type;Tourism arrivals series type footnote;Value;Footnotes;Source;valor_expenditure;number_visitor
99;533;Aruba;2010;Tourist/visitor arrivals (thousands);TF;;824;Arrivals by air.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;824
100;533;Aruba;2015;Tourist/visitor arrivals (thousands);TF;;1225;Arrivals by air.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;1225
101;533;Aruba;2016;Tourist/visitor arrivals (thousands);TF;;1102;Arrivals by air.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;1102
102;533;Aruba;2017;Tourist/visitor arrivals (thousands);TF;;1071;Arrivals by air.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;1071
103;533;Aruba;1995;Tourism expenditure (millions of US dollars);;;554;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;554;
104;533;Aruba;2005;Tourism expenditure (millions of US dollars);;;1097;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;1097;
105;533;Aruba;2010;Tourism expenditure (millions of US dollars);;;1254;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;1254;
106;533;Aruba;2015;Tourism expenditure (millions of US dollars);;;1664;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;1664;
107;533;Aruba;2016;Tourism expenditure (millions of US dollars);;;1632;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;1632;
108;533;Aruba;2017;Tourism expenditure (millions of US dollars);;;1733;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;1733;
109;36;Australia;1995;Tourist/visitor arrivals (thousands);VF;;3726;Excluding nationals residing abroad and crew members.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;3726
110;36;Australia;2005;Tourist/visitor arrivals (thousands);VF;;5499;Excluding nationals residing abroad and crew members.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;5499
111;36;Australia;2010;Tourist/visitor arrivals (thousands);VF;;5790;Excluding nationals residing abroad and crew members.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;5790
112;36;Australia;2015;Tourist/visitor arrivals (thousands);VF;;7450;Excluding nationals residing abroad and crew members.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;7450
113;36;Australia;2016;Tourist/visitor arrivals (thousands);VF;;8269;Excluding nationals residing abroad and crew members.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;8269
114;36;Australia;2017;Tourist/visitor arrivals (thousands);VF;;8815;Excluding nationals residing abroad and crew members.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;8815
115;36;Australia;1995;Tourism expenditure (millions of US dollars);;;10370;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;10370;
116;36;Australia;2005;Tourism expenditure (millions of US dollars);;;19719;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;19719;
117;36;Australia;2010;Tourism expenditure (millions of US dollars);;;31064;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;31064;
118;36;Australia;2015;Tourism expenditure (millions of US dollars);;;30872;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;30872;
119;36;Australia;2016;Tourism expenditure (millions of US dollars);;;36786;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;36786;
120;36;Australia;2017;Tourism expenditure (millions of US dollars);;;43982;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;43982;
121;40;Austria;1995;Tourist/visitor arrivals (thousands);TCE;;17173;"Only paid accommodation; excluding stays at friends and relatives and second homes.";World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;17173
122;40;Austria;2005;Tourist/visitor arrivals (thousands);TCE;;19952;"Only paid accommodation; excluding stays at friends and relatives and second homes.";World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;19952
123;40;Austria;2010;Tourist/visitor arrivals (thousands);TCE;;22004;"Only paid accommodation; excluding stays at friends and relatives and second homes.";World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;22004
124;40;Austria;2015;Tourist/visitor arrivals (thousands);TCE;;26728;"Only paid accommodation; excluding stays at friends and relatives and second homes.";World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;26728
125;40;Austria;2016;Tourist/visitor arrivals (thousands);TCE;;28121;"Only paid accommodation; excluding stays at friends and relatives and second homes.";World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;28121
126;40;Austria;2017;Tourist/visitor arrivals (thousands);TCE;;29460;"Only paid accommodation; excluding stays at friends and relatives and second homes.";World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;29460
127;40;Austria;1995;Tourism expenditure (millions of US dollars);;;13435;Excluding passenger transport.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;13435;
128;40;Austria;2005;Tourism expenditure (millions of US dollars);;;16243;Excluding passenger transport.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;16243;
129;40;Austria;2010;Tourism expenditure (millions of US dollars);;;18758;Excluding passenger transport.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;18758;
130;40;Austria;2015;Tourism expenditure (millions of US dollars);;;20416;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;20416;
131;40;Austria;2016;Tourism expenditure (millions of US dollars);;;20971;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;20971;
132;40;Austria;2017;Tourism expenditure (millions of US dollars);;;22408;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;22408;
133;31;Azerbaijan;2005;Tourist/visitor arrivals (thousands);TF;;693;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;693
134;31;Azerbaijan;2010;Tourist/visitor arrivals (thousands);TF;;1280;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;1280
135;31;Azerbaijan;2015;Tourist/visitor arrivals (thousands);TF;;1922;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;1922
136;31;Azerbaijan;2016;Tourist/visitor arrivals (thousands);TF;;2044;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;2044
137;31;Azerbaijan;2017;Tourist/visitor arrivals (thousands);TF;;2454;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;2454
138;31;Azerbaijan;1995;Tourism expenditure (millions of US dollars);;;87;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;87;
139;31;Azerbaijan;2005;Tourism expenditure (millions of US dollars);;;100;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;100;
140;31;Azerbaijan;2010;Tourism expenditure (millions of US dollars);;;792;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;792;
141;31;Azerbaijan;2015;Tourism expenditure (millions of US dollars);;;2535;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;2535;
142;31;Azerbaijan;2016;Tourism expenditure (millions of US dollars);;;2855;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;2855;
143;31;Azerbaijan;2017;Tourism expenditure (millions of US dollars);;;3214;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;3214;
144;44;Bahamas;1995;Tourist/visitor arrivals (thousands);TF;;1598;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;1598
145;44;Bahamas;2005;Tourist/visitor arrivals (thousands);TF;;1608;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;1608
146;44;Bahamas;2010;Tourist/visitor arrivals (thousands);TF;;1370;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;1370
147;44;Bahamas;2015;Tourist/visitor arrivals (thousands);TF;;1484;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;1484
148;44;Bahamas;2016;Tourist/visitor arrivals (thousands);TF;;1499;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;1499
149;44;Bahamas;2017;Tourist/visitor arrivals (thousands);TF;;1439;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;1439
150;44;Bahamas;1995;Tourism expenditure (millions of US dollars);;;1356;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;1356;
151;44;Bahamas;2005;Tourism expenditure (millions of US dollars);;;2081;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;2081;
152;44;Bahamas;2010;Tourism expenditure (millions of US dollars);;;2159;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;2159;
153;44;Bahamas;2015;Tourism expenditure (millions of US dollars);;;2554;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;2554;
154;44;Bahamas;2016;Tourism expenditure (millions of US dollars);;;2608;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;2608;
